학교명,지역,시도,우선순위점수,등급,같은지역_기배정학과(힌트),대표학과(여기에_작성)
심석중학교,남양주시,경기도,33.4,상,"재료×5, 설계×4, 전기×2, 인문×1, 전자×1",
화광중학교,남양주시,경기도,24.4,상,"재료×5, 설계×4, 전기×2, 인문×1, 전자×1",
동구중학교,구리시,경기도,21.4,상,"하이텍×2, 전기×1, 드론×1",
마석중학교,남양주시,경기도,20.6,상,"재료×5, 설계×4, 전기×2, 인문×1, 전자×1",
한별중학교,남양주시,경기도,19.8,상,"재료×5, 설계×4, 전기×2, 인문×1, 전자×1",
능곡중학교,고양시,경기도,18.6,상,(같은지역 배정 없음),
판곡중학교,남양주시,경기도,16.0,중,"재료×5, 설계×4, 전기×2, 인문×1, 전자×1",
진건중학교,남양주시,경기도,16.0,중,"재료×5, 설계×4, 전기×2, 인문×1, 전자×1",
진접중학교,남양주시,경기도,15.8,중,"재료×5, 설계×4, 전기×2, 인문×1, 전자×1",
옥빛중학교,양주시,경기도,15.0,중,(같은지역 배정 없음),
서라벌중학교,강북구,서울시,13.4,중,하이텍×1,
솔샘중학교,강북구,서울시,13.4,중,하이텍×1,
양오중학교,남양주시,경기도,13.2,중,"재료×5, 설계×4, 전기×2, 인문×1, 전자×1",
미금중학교,남양주시,경기도,12.4,중,"재료×5, 설계×4, 전기×2, 인문×1, 전자×1",
창일중학교,도봉구,서울시,12.2,중,"전기×2, 설비×2, 하이텍×1, 전자×1",
청림중학교,화성시,경기도,12.2,중,(같은지역 배정 없음),
호평중학교,남양주시,경기도,11.6,중,"재료×5, 설계×4, 전기×2, 인문×1, 전자×1",
옥정중학교,양주시,경기도,11.0,중,(같은지역 배정 없음),
산내중학교,파주시,경기도,11.0,중,(같은지역 배정 없음),
광릉중학교,남양주시,경기도,10.8,중,"재료×5, 설계×4, 전기×2, 인문×1, 전자×1",
번동중학교,강북구,서울시,10.6,중,하이텍×1,
신방학중학교,도봉구,서울시,10.6,중,"전기×2, 설비×2, 하이텍×1, 전자×1",
삼숭중학교,양주시,경기도,10.6,중,(같은지역 배정 없음),
토평중학교,구리시,경기도,10.6,중,"하이텍×2, 전기×1, 드론×1",
자양중학교,광진구,서울시,10.4,중,"메카×2, 재료×1",
장내중학교,남양주시,경기도,10.4,중,"재료×5, 설계×4, 전기×2, 인문×1, 전자×1",
덕계중학교,양주시,경기도,10.4,중,(같은지역 배정 없음),
광동중학교,남양주시,경기도,10.2,중,"재료×5, 설계×4, 전기×2, 인문×1, 전자×1",
충의중학교,의정부시,경기도,10.0,중,반도체×2,
을지중학교,노원구,서울시,9.8,중,"드론×4, 자동화×4, 전자×4, 설비×3, 전기×2, 하이텍×2, 재료×1, 메카×1",
와부중학교,남양주시,경기도,9.8,중,"재료×5, 설계×4, 전기×2, 인문×1, 전자×1",
양주백석중학교,양주시,경기도,9.8,중,(같은지역 배정 없음),
교문중학교,구리시,경기도,9.6,중,"하이텍×2, 전기×1, 드론×1",
효문중학교,도봉구,서울시,9.4,중,"전기×2, 설비×2, 하이텍×1, 전자×1",
송라중학교,남양주시,경기도,9.4,중,"재료×5, 설계×4, 전기×2, 인문×1, 전자×1",
강동중학교,강동구,서울시,9.2,중,하이텍×1,
성남서중학교,성남시,경기도,9.2,중,(같은지역 배정 없음),
예봉중학교,남양주시,경기도,8.8,중,"재료×5, 설계×4, 전기×2, 인문×1, 전자×1",
개봉중학교,구로구,서울시,8.6,중,(같은지역 배정 없음),
덕현중학교,양주시,경기도,8.6,중,(같은지역 배정 없음),
장자중학교,구리시,경기도,8.6,중,"하이텍×2, 전기×1, 드론×1",
성사중학교,고양시,경기도,8.6,중,(같은지역 배정 없음),
주곡중학교,남양주시,경기도,8.2,하,"재료×5, 설계×4, 전기×2, 인문×1, 전자×1",
염광중학교,노원구,서울시,8.0,하,"드론×4, 자동화×4, 전자×4, 설비×3, 전기×2, 하이텍×2, 재료×1, 메카×1",
송양중학교,의정부시,경기도,8.0,하,반도체×2,
솔뫼중학교,의정부시,경기도,8.0,하,반도체×2,
천마중학교,남양주시,경기도,7.6,하,"재료×5, 설계×4, 전기×2, 인문×1, 전자×1",
선덕중학교,도봉구,서울시,7.4,하,"전기×2, 설비×2, 하이텍×1, 전자×1",
상원중학교,노원구,서울시,7.0,하,"드론×4, 자동화×4, 전자×4, 설비×3, 전기×2, 하이텍×2, 재료×1, 메카×1",
동대문중학교,동대문구,서울시,6.8,하,"드론×2, 메카×1",
남문중학교,양주시,경기도,6.8,하,(같은지역 배정 없음),
성일중학교,동대문구,서울시,6.4,하,"드론×2, 메카×1",
신일중학교,강북구,서울시,6.4,하,하이텍×1,
태랑중학교,노원구,서울시,6.2,하,"드론×4, 자동화×4, 전자×4, 설비×3, 전기×2, 하이텍×2, 재료×1, 메카×1",
창동중학교,도봉구,서울시,6.2,하,"전기×2, 설비×2, 하이텍×1, 전자×1",
장평중학교,동대문구,서울시,6.0,하,"드론×2, 메카×1",
길음중학교,성북구,서울시,6.0,하,"인문×1, 재료×1, 드론×1",
수유중학교,강북구,서울시,5.6,하,하이텍×1,
구의중학교,광진구,서울시,5.6,하,"메카×2, 재료×1",
다산한강중학교,남양주시,경기도,5.4,하,"재료×5, 설계×4, 전기×2, 인문×1, 전자×1",
수동중학교,남양주시,경기도,5.2,하,"재료×5, 설계×4, 전기×2, 인문×1, 전자×1",
인수중학교,강북구,서울시,5.0,하,하이텍×1,
숭곡중학교,성북구,서울시,4.8,하,"인문×1, 재료×1, 드론×1",
동암중학교,의정부시,경기도,4.8,하,반도체×2,
화접중학교,남양주시,경기도,4.8,하,"재료×5, 설계×4, 전기×2, 인문×1, 전자×1",
태랑중학교,노원구,서울시,4.2,하,"드론×4, 자동화×4, 전자×4, 설비×3, 전기×2, 하이텍×2, 재료×1, 메카×1",
덕소중학교,남양주시,경기도,4.2,하,"재료×5, 설계×4, 전기×2, 인문×1, 전자×1",
창북중학교,도봉구,서울시,3.6,하,"전기×2, 설비×2, 하이텍×1, 전자×1",
